fiscal_year,NHS,district,activity,Route Type,Route,Beg MM,End MM,cost,date,segment_id
2017,True,5,GUARDRAIL,US,US 550,171.1,171.1,9201.67,2017-03-02,US 550_171.1_171.1
2017,False,5,GUARDRAIL,State,NM 41,47.38,47.38,4030.69,2017-03-02,NM 41_47.38_47.38
2017,True,5,GUARDRAIL,Interstate,I 25,266.6,266.6,2681.02,2017-03-02,I 25_266.6_266.6
2017,True,5,BRIDGE OTHER,US,US 550,171.2,171.2,19660.95,2017-03-02,US 550_171.2_171.2
2017,False,2,COLD MILLING BTMNS SRFCS,State,NM 209,1.4,2.4,474845.54,2017-03-06,NM 209_1.4_2.4
2017,False,1,HOT INSITU SCARIFICATION,State,NM 181,0.0,11.8,2083.2,2017-04-05,NM 181_0.0_11.8
2017,True,5,GUARDRAIL,State,NM 599,11.0,13.0,25209.47,2017-04-07,NM 599_11.0_13.0
2017,True,5,BRIDGE OTHER,US,US 64,242.7,242.7,6498.96,2017-04-07,US 64_242.7_242.7
2017,False,2,COLD MILLING BTMNS SRFCS,State,NM 209,1.4,2.4,8468.21,2017-05-03,NM 209_1.4_2.4
2017,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,437.7,442.0,231157.67,2017-05-05,I 25_437.7_442.0
2017,True,6,BRIDGE OTHER,Interstate,I 40,93.1,93.1,69183.33,2017-05-09,I 40_93.1_93.1
2017,False,6,CRACK SEAL,State,NM 12,0.0,20.4,271862.61,2017-05-09,NM 12_0.0_20.4
2017,True,6,HOT MIX OVERLAY/ INLAY,US,US 60,18.0,24.0,889517.69,2017-05-09,US 60_18.0_24.0
2017,True,3,HOT MIX OVERLAY/ INLAY,US,US 550,3.7,6.2,605484.51,2017-05-09,US 550_3.7_6.2
2017,False,5,COLD MIX ASPHLT RCYCLNG,State,NM 68,7.3,7.3,115850.71,2017-05-09,NM 68_7.3_7.3
2017,True,3,HOT MIX OVERLAY/ INLAY,State,NM 45,20.8,22.3,1102201.26,2017-06-06,NM 45_20.8_22.3
2017,True,2,COLD MILLING BTMNS SRFCS,US,US 285,21.5,23.5,43087.02,2017-06-06,US 285_21.5_23.5
2017,True,2,COLD MILLING BTMNS SRFCS,US,US 70,302.0,310.0,88219.11,2017-06-06,US 70_302.0_310.0
