order_id,date_declared,year,state_federal_code,origin_office,incident_description,declaration_type,county
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Quay
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Rio Arriba
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Roosevelt
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Sandoval
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Sierra
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Socorro
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Taos
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Torrance
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Union
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Valencia
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,San Juan
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,San Miguel
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Santa Fe
2006-043,2006-07-24,2006,S,Richardson,"Disaster in the Counties of Bernalillo, Harding, Quay, Rio Arriba, Sandoval, San Juan, Sierra and Socorro for Flash Flooding",Flash Flooding,Bernalillo
2006-043,2006-07-24,2006,S,Richardson,"Disaster in the Counties of Bernalillo, Harding, Quay, Rio Arriba, Sandoval, San Juan, Sierra and Socorro for Flash Flooding",Flash Flooding,Harding
2006-043,2006-07-24,2006,S,Richardson,"Disaster in the Counties of Bernalillo, Harding, Quay, Rio Arriba, Sandoval, San Juan, Sierra and Socorro for Flash Flooding",Flash Flooding,Quay
2006-043,2006-07-24,2006,S,Richardson,"Disaster in the Counties of Bernalillo, Harding, Quay, Rio Arriba, Sandoval, San Juan, Sierra and Socorro for Flash Flooding",Flash Flooding,Rio Arriba
2006-043,2006-07-24,2006,S,Richardson,"Disaster in the Counties of Bernalillo, Harding, Quay, Rio Arriba, Sandoval, San Juan, Sierra and Socorro for Flash Flooding",Flash Flooding,Sandoval
2006-043,2006-07-24,2006,S,Richardson,"Disaster in the Counties of Bernalillo, Harding, Quay, Rio Arriba, Sandoval, San Juan, Sierra and Socorro for Flash Flooding",Flash Flooding,San Juan
2006-043,2006-07-24,2006,S,Richardson,"Disaster in the Counties of Bernalillo, Harding, Quay, Rio Arriba, Sandoval, San Juan, Sierra and Socorro for Flash Flooding",Flash Flooding,Sierra
2006-043,2006-07-24,2006,S,Richardson,"Disaster in the Counties of Bernalillo, Harding, Quay, Rio Arriba, Sandoval, San Juan, Sierra and Socorro for Flash Flooding",Flash Flooding,Socorro
2006-033,2006-06-26,2006,S,Richardson,Disaster In The County Of Otero And City Of Alamogordo For Flood Damage Resulting From Severe Weather.,Flooding,Otero
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Doña Ana
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Grant
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Hidalgo
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,San Miguel
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Valencia
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Luna
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Otero
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Cibola
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Harding
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Rio Arriba
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Sandoval
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Sierra
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Socorro
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Taos
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Guadalupe
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Lincoln
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Mora
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,McKinley
2006-045,2006-08-02,2006,S,Richardson,"Disaster Flood Damage Resulting from Severe Weather. Dona Ana, Grant, Hidalgo, San Miguel, Valencia, Luna, Otero, Cibola, Harding, Rio Arriba, Sandoval, Sierra, Socorro, Taos, Guadalupe, Lincoln, Mora, Mckinley and Torrance Counties.",Flooding,Torrance
2006-009,2006-03-03,2006,S,Richardson,Emergency Throughout New Mexico Due to Severe Fire Conditions,Severe Fire Conditions,Statewide
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Colfax
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Union
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Mora
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Harding
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Quay
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Guadalue
